epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
99,3559.7,0.29577,0.19003,0.77552,0.87437,0.86582,0.90301,0.46015,1.76894,1.01018,1.5223,0.000212757,0.000212757,0.000212757
100,3595.01,0.2895,0.18754,0.77486,0.87639,0.84892,0.89432,0.45438,1.76677,1.02631,1.51673,0.000203591,0.000203591,0.000203591
101,3630.25,0.2848,0.18767,0.77373,0.87454,0.85952,0.90367,0.46048,1.76296,1.00153,1.51044,0.000194425,0.000194425,0.000194425
102,3665.6,0.28196,0.18497,0.77414,0.86545,0.85527,0.89547,0.4624,1.76495,1.01871,1.51764,0.000185259,0.000185259,0.000185259
103,3700.88,0.28229,0.18473,0.7739,0.88874,0.85224,0.90079,0.45751,1.77085,0.98252,1.52168,0.000176094,0.000176094,0.000176094
104,3736.17,0.27667,0.18121,0.77162,0.88627,0.86516,0.90576,0.46155,1.75952,0.99298,1.50292,0.000166928,0.000166928,0.000166928
105,3771.58,0.27585,0.18149,0.77264,0.88036,0.86415,0.9024,0.4641,1.76281,0.96087,1.5059,0.000157762,0.000157762,0.000157762
106,3807.46,0.27606,0.18184,0.77373,0.86982,0.85357,0.9018,0.4652,1.76026,0.99519,1.51322,0.000148596,0.000148596,0.000148596
107,3843.09,0.26899,0.17736,0.77094,0.86461,0.86218,0.90365,0.4693,1.75511,1.01083,1.51446,0.000139431,0.000139431,0.000139431
108,3878.51,0.26553,0.1755,0.77276,0.88495,0.8446,0.898,0.4613,1.76358,1.00762,1.51735,0.000130265,0.000130265,0.000130265
109,3913.82,0.26759,0.17817,0.77223,0.89597,0.83142,0.89719,0.46171,1.76708,1.02781,1.52851,0.000121099,0.000121099,0.000121099
110,3949.09,0.26211,0.17494,0.77095,0.88921,0.84331,0.9033,0.46812,1.75737,1.02543,1.49511,0.000111933,0.000111933,0.000111933
111,3990.23,0.23664,0.16351,0.7654,0.87995,0.84847,0.89902,0.46508,1.76309,1.02129,1.51262,0.000102768,0.000102768,0.000102768
112,4025.47,0.2346,0.16211,0.76634,0.88849,0.84687,0.90405,0.46841,1.75445,1.02172,1.51353,9.36017e-05,9.36017e-05,9.36017e-05
113,4060.68,0.22823,0.16007,0.76559,0.88746,0.85724,0.90542,0.47003,1.76037,1.02796,1.51452,8.4436e-05,8.4436e-05,8.4436e-05
114,4095.85,0.22555,0.1579,0.76422,0.8912,0.85377,0.90499,0.46661,1.76089,1.03567,1.51626,7.52703e-05,7.52703e-05,7.52703e-05
115,4131.16,0.22393,0.15691,0.76487,0.89211,0.85457,0.90348,0.46745,1.75846,1.01651,1.51419,6.61045e-05,6.61045e-05,6.61045e-05
116,4166.73,0.22258,0.1566,0.76375,0.8858,0.85655,0.90239,0.46657,1.75768,1.01956,1.51789,5.69387e-05,5.69387e-05,5.69387e-05
117,4202.26,0.21925,0.15524,0.76498,0.8817,0.85573,0.90068,0.46759,1.75594,1.02294,1.51604,4.7773e-05,4.7773e-05,4.7773e-05
118,4237.54,0.21669,0.15299,0.76481,0.88115,0.85506,0.89936,0.46672,1.75707,1.03166,1.51705,3.86073e-05,3.86073e-05,3.86073e-05
119,4272.76,0.21581,0.15293,0.76529,0.87691,0.86546,0.90321,0.46733,1.75281,1.02995,1.5162,2.94415e-05,2.94415e-05,2.94415e-05
120,4307.87,0.21328,0.15188,0.76317,0.87814,0.86588,0.90142,0.46631,1.75548,1.0368,1.51866,2.02757e-05,2.02757e-05,2.02757e-05
